Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;177.3274232;90;;;;;;;
Extension Fracture;177.3731553;90;;;;;;;
Extension Fracture;177.3731553;90;;;;;;;
Extension Fracture;177.3274232;90;;;;;;;
Extension Fracture;188.0076136;90;;;;;;;
Extension Fracture;188.0076136;90;;;;;;;
Extension Fracture;191.8645846;90;;;;;;;
Extension Fracture;191.8645846;90;;;;;;;
Extension Fracture;148.9438828;90;;;;;;;
Extension Fracture;148.9438828;90;;;;;;;
Extension Fracture;154.9741443;90;;;;;;;
Extension Fracture;155.0096136;90;;;;;;;
Extension Fracture;154.9741443;90;;;;;;;
Extension Fracture;155.0096136;90;;;;;;;
Extension Fracture;167.6010616;90;;;;;;;
Extension Fracture;167.6010616;90;;;;;;;
Extension Fracture;167.6459156;90;;;;;;;
Extension Fracture;167.6459156;90;;;;;;;
Extension Fracture;153.6012925;90;;;;;;;
Extension Fracture;153.6012925;90;;;;;;;
Extension Fracture;153.3517768;90;;;;;;;
Extension Fracture;153.3517768;90;;;;;;;
Extension Fracture;153.3517768;90;;;;;;;
Extension Fracture;153.3517768;90;;;;;;;
Extension Fracture;164.114443;90;;;;;;;
Extension Fracture;164.114443;90;;;;;;;
Extension Fracture;158.0541653;90;;;;;;;
Extension Fracture;158.0541653;90;;;;;;;
Extension Fracture;157.1797771;90;;;;;;;
Extension Fracture;164.1162184;90;;;;;;;
Extension Fracture;157.1797771;90;;;;;;;
Extension Fracture;164.1162184;90;;;;;;;
Extension Fracture;176.5515692;90;;;;;;;
Extension Fracture;174.381126;90;;;;;;;
Extension Fracture;176.5515692;90;;;;;;;
Extension Fracture;174.381126;90;;;;;;;
Extension Fracture;175.585647;90;;;;;;;
Extension Fracture;167.6003817;90;;;;;;;
Extension Fracture;185.5996114;90;;;;;;;
Extension Fracture;167.6003817;90;;;;;;;
Extension Fracture;185.5996114;90;;;;;;;
Extension Fracture;170.3303801;90;;;;;;;
Extension Fracture;175.585647;90;;;;;;;
Extension Fracture;170.3303801;90;;;;;;;
Extension Fracture;189.3103921;90;;;;;;;
Extension Fracture;189.3123126;90;;;;;;;
Extension Fracture;189.3126892;90;;;;;;;
Extension Fracture;189.3126892;90;;;;;;;
Extension Fracture;189.3103921;90;;;;;;;
Extension Fracture;189.3123126;90;;;;;;;
Extension Fracture;159.7599362;90;;;;;;;
Extension Fracture;159.7599362;90;;;;;;;
Extension Fracture;159.7977186;90;;;;;;;
Extension Fracture;159.7977186;90;;;;;;;
Extension Fracture;169.8384098;90;;;;;;;
Extension Fracture;169.8384098;90;;;;;;;
Extension Fracture;168.0257493;90;;;;;;;
Extension Fracture;168.0257493;90;;;;;;;
Extension Fracture;145.897675;90;;;;;;;
Extension Fracture;145.9017214;90;;;;;;;
Extension Fracture;145.897675;90;;;;;;;
Extension Fracture;145.9017214;90;;;;;;;
Extension Fracture;168.8455194;90;;;;;;;
Extension Fracture;172.1595567;90;;;;;;;
Extension Fracture;163.3594858;90;;;;;;;
Extension Fracture;163.3594858;90;;;;;;;
Extension Fracture;172.1595567;90;;;;;;;
Extension Fracture;168.8455194;90;;;;;;;
Extension Fracture;167.0332233;90;;;;;;;
Extension Fracture;166.9867037;90;;;;;;;
Extension Fracture;167.0332233;90;;;;;;;
Extension Fracture;166.9867037;90;;;;;;;
